,Issue key,Resolved,Issue Type
207,TRP-1375,14/Nov/18 12:31 PM,Task
208,TRP-1343,09/Nov/18 12:06 PM,Task
209,TRP-1276,09/Nov/18 11:33 AM,Task
210,TRP-1263,07/Nov/18 4:19 PM,Task
211,TRP-1277,07/Nov/18 9:54 AM,Task
212,TRP-1048,06/Nov/18 6:31 PM,Story
213,TRP-1333,06/Nov/18 10:55 AM,Story
214,TRP-1332,06/Nov/18 10:55 AM,Story
215,TRP-1331,06/Nov/18 10:55 AM,Story
216,TRP-1280,05/Nov/18 3:46 PM,Story
217,TRP-1309,02/Nov/18 3:39 PM,Story
218,TRP-1307,02/Nov/18 3:10 PM,Story
219,TRP-1308,02/Nov/18 3:10 PM,Story
220,TRP-1316,02/Nov/18 10:44 AM,Bug
221,TRP-1228,02/Nov/18 10:02 AM,Story
222,TRP-1278,23/Oct/18 5:07 PM,Task
223,TRP-1300,23/Oct/18 10:36 AM,Bug
224,TRP-1302,22/Oct/18 5:48 PM,Sub-task
225,TRP-1301,22/Oct/18 1:05 PM,Sub-task
226,TRP-1250,22/Oct/18 12:42 PM,Sub-task
227,TRP-1248,22/Oct/18 12:41 PM,Sub-task
228,TRP-1273,22/Oct/18 11:16 AM,Task
229,TRP-1254,22/Oct/18 10:04 AM,Task
230,TRP-1441,19/Oct/18 10:25 AM,Task
